Time,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r)
84.0,0.1048384,-1.019701,1.124539,-1.618573,-0.2518027,-1.36677,0.5574837,-1.07212,-0.01887444,0.07244222,0.01734667,0.05509556
85.0,0.1049091,-1.021213,1.126122,-1.620823,-0.251682,-1.369141,0.5587295,-1.073668,-0.01887607,0.07252146,0.01738466,0.0551368
86.0,0.1049747,-1.022687,1.127662,-1.623008,-0.2515716,-1.371436,0.5599324,-1.075174,-0.01887477,0.07259975,0.0174251,0.05517465
87.0,0.105036,-1.024126,1.129162,-1.625137,-0.2514708,-1.373666,0.5610975,-1.076644,-0.01887112,0.07267716,0.01746745,0.0552097
88.0,0.1050948,-1.025542,1.130637,-1.627229,-0.2513775,-1.375851,0.5622368,-1.078089,-0.01886631,0.07275371,0.01751055,0.05524316
89.0,0.1051523,-1.026936,1.132088,-1.62929,-0.25129,-1.378,0.5633548,-1.079512,-0.01886124,0.07282927,0.0175534,0.05527587
90.0,0.1052091,-1.028305,1.133514,-1.631318,-0.2512072,-1.380111,0.564452,-1.08091,-0.01885644,0.07290364,0.01759538,0.05530826
91.0,0.1052652,-1.029647,1.134912,-1.63331,-0.2511286,-1.382181,0.5655263,-1.08228,-0.01885201,0.07297667,0.01763632,0.05534035
92.0,0.10532,-1.030957,1.136277,-1.635257,-0.2510548,-1.384202,0.5665737,-1.083617,-0.01884767,0.07304835,0.0176765,0.05537185
93.0,0.1053731,-1.032231,1.137604,-1.637153,-0.2509862,-1.386167,0.5675904,-1.084917,-0.01884305,0.07311866,0.01771628,0.05540239
94.0,0.105424,-1.033466,1.13889,-1.638994,-0.2509235,-1.38807,0.5685733,-1.086178,-0.01883776,0.07318762,0.01775605,0.05543158
95.0,0.1054654,-1.034622,1.140087,-1.640704,-0.2508752,-1.389829,0.5694768,-1.087354,-0.01882718,0.073255,0.01780033,0.05545468
96.0,0.105501,-1.035717,1.141219,-1.642319,-0.2508365,-1.391483,0.570323,-1.088468,-0.01881371,0.07332082,0.0178467,0.05547412
97.0,0.1055344,-1.036773,1.142308,-1.643876,-0.2508032,-1.393073,0.5711347,-1.089541,-0.01879951,0.07338517,0.01789307,0.0554921
98.0,0.1055674,-1.037799,1.143366,-1.645391,-0.2507726,-1.394618,0.5719229,-1.090583,-0.01878595,0.073448,0.01793805,0.05550995
99.0,0.1056008,-1.038798,1.144399,-1.646872,-0.250744,-1.396128,0.572692,-1.091598,-0.01877349,0.07350931,0.01798116,0.05552815
100.0,0.1056346,-1.039774,1.145408,-1.648324,-0.2507176,-1.397606,0.5734442,-1.092591,-0.01876208,0.07356923,0.01802253,0.05554669
101.0,0.1056681,-1.040723,1.146391,-1.64974,-0.2506944,-1.399045,0.5741755,-1.093557,-0.01875114,0.07362781,0.01806277,0.05556504
102.0,0.1057001,-1.041641,1.147341,-1.651112,-0.2506755,-1.400436,0.5748803,-1.094491,-0.01873998,0.07368509,0.01810257,0.05558252
103.0,0.10573,-1.042524,1.148254,-1.652431,-0.2506616,-1.401769,0.5755539,-1.095389,-0.01872803,0.07374107,0.01814251,0.05559856
104.0,0.1057571,-1.043368,1.149125,-1.653694,-0.2506531,-1.403041,0.5761938,-1.096246,-0.01871495,0.07379575,0.01818293,0.05561282
105.0,0.1057813,-1.044173,1.149955,-1.654899,-0.2506497,-1.404249,0.5767996,-1.097064,-0.01870065,0.0738491,0.0182239,0.0556252
106.0,0.1058028,-1.044941,1.150744,-1.656048,-0.250651,-1.405397,0.5773729,-1.097843,-0.01868524,0.07390111,0.01826531,0.0556358
107.0,0.105822,-1.045674,1.151496,-1.657145,-0.2506562,-1.406489,0.5779163,-1.098585,-0.01866896,0.07395176,0.01830692,0.05564484
108.0,0.1058392,-1.046374,1.152213,-1.658195,-0.2506644,-1.40753,0.5784329,-1.099294,-0.01865209,0.07400106,0.01834844,0.05565262
109.0,0.105855,-1.047044,1.152899,-1.659201,-0.2506751,-1.408526,0.5789256,-1.099972,-0.01863487,0.07404899,0.01838962,0.05565937
